composite_gtfs_stops_id,next_composite_gtfs_stops_id,route,direction,mean_seconds_in_transit
253,252,3,N,112.79069767441861
253,252,4,N,114.54545454545455
253,252,5,N,90.0
253,254,2,S,84.0
253,254,3,S,84.4186046511628
253,254,4,S,63.529411764705884
254,253,2,N,80.0
254,253,3,N,67.20930232558139
254,253,4,N,65.45454545454545
254,253,5,N,90.0
254,255,2,S,90.0
254,255,3,S,90.0
254,255,4,S,90.0
255,254,2,N,100.0
255,254,3,N,93.72093023255815
255,254,4,N,90.0
255,254,5,N,90.0
255,256,2,S,60.0
255,256,3,S,63.02325581395349
255,256,4,S,60.0
256,255,2,N,65.0
256,255,3,N,60.46511627906977
256,255,4,N,60.90909090909091
256,255,5,N,75.0
256,257,2,S,90.0
256,257,3,S,86.97674418604652
256,257,4,S,90.0
257,256,2,N,90.0
257,256,3,N,90.0
257,256,4,N,90.0
257,256,5,N,90.0
257,301,3,S,82271.66666666667
257,302,3,S,82310.0
257,401,4,S,81102.35294117648
301,302,3,S,122.21476510067114
302,301,3,N,72.23684210526316
401,402,4,S,120.0
402,401,4,N,124.6987951807229
402,405,4,S,129.9418604651163
405,402,4,N,114.21686746987952
405,406,4,S,120.0
406,405,4,N,142.10526315789474
406,407,4,S,86.43243243243244
407,406,4,N,90.0
407,408,4,S,85.13513513513513
408,407,4,N,86.66666666666667
408,409,4,S,91.62162162162163
409,408,4,N,90.0
409,410,4,S,92.10810810810811
410,409,4,N,219.2982456140351
410,411,4,S,87.89189189189189
411,410,4,N,70.52631578947368
411,412,4,S,76.86486486486487
412,411,4,N,64.03508771929825
412,413,4,S,92.10810810810811
413,409,4,N,300.0
413,412,4,N,90.0
413,414_D11,4,S,124.21621621621621
414_D11,222_415,4,S,180.64864864864865
414_D11,413,4,N,113.83783783783784
414_D11,D10,B,N,150.0
414_D11,D10,D,N,150.0
414_D11,D12,B,S,97.85714285714286
414_D11,D12,D,S,90.0
416,222_415,4,N,124.7560975609756
416,505,5,N,1363.5897435897436
416,621,4,S,149.0506329113924
416,621,5,S,160.43478260869566
419,229_418_A38_M22,4,N,66.16216216216216
419,229_418_A38_M22,5,N,68.47826086956522
419,420,4,S,86.43243243243244
419,420,5,S,90.21739130434783
420,232_423_R28,4,S,310.2197802197802
420,232_423_R28,5,S,312.04918032786884
420,419,4,N,90.0
420,419,5,N,90.0
420,501,5,S,82868.18181818182
501,502,5,S,131.32867132867133
502,501,5,N,125.87412587412588
502,503,5,S,144.96503496503496
503,502,5,N,180.83916083916083
503,504,5,S,160.9090909090909
504,503,5,N,151.04895104895104
504,505,5,S,66.2937062937063
505,504,5,N,75.52447552447552
601,602,6,S,144.27745664739885
602,601,6,N,147.4431818181818
602,603,6,S,60.0
603,602,6,N,61.19318181818182
603,604,6,S,110.28901734104046
604,603,6,N,100.05681818181819
604,606,6,S,75.60693641618496
606,604,6,N,67.67045454545455
606,607,6,S,74.39306358381504
607,606,6,N,70.05681818181819
607,608,6,S,135.4335260115607
608,607,6,N,120.0
608,609,6,S,87.29613733905579
608,613,6,S,344.61538461538464
609,608,6,N,96.9
609,610,6,S,89.35622317596567
610,609,6,N,66.75
610,611,6,S,60.0
611,610,6,N,55.5
611,612,6,S,90.64377682403433
612,611,6,N,113.25
612,613,6,S,116.78111587982832
613,608,6,N,388.75
613,612,6,N,90.0
613,614,6,S,90.0
613,619,6,S,436.8
614,613,6,N,207.8468899521531
614,615,6,S,117.70270270270271
615,614,6,N,97.7511961722488
615,616,6,S,60.0
616,615,6,N,79.52153110047847
616,617,6,S,116.35135135135135
617,616,6,N,114.25837320574162
617,618,6,S,60.0
618,617,6,N,60.0
618,619,6,S,94.32432432432432
619,613,6,N,500.4761904761905
619,618,6,N,90.0
621,222_415,4,N,300.0
621,416,4,N,174.32926829268294
621,416,5,N,180.0
621,619,6,N,200.43478260869566
621,626,4,S,287.6756756756757
621,626,5,S,275.0
621,626,6,S,456.5217391304348
622,621,4,N,90.0
622,621,6,N,101.19565217391305
622,623,4,S,90.0
622,623,6,S,83.47826086956522
623,622,4,N,90.0
623,622,6,N,81.19565217391305
623,624,4,S,60.0
623,624,6,S,66.52173913043478
624,623,4,N,60.0
624,623,6,N,68.80434782608695
624,625,4,S,90.0
624,625,6,S,90.0
625,624,4,N,90.0
625,624,6,N,90.0
625,627,4,S,210.0
625,627,6,S,230.2173913043478
626,621,4,N,320.40697674418607
626,621,5,N,330.4347826086956
626,625,4,N,120.0
626,625,6,N,116.19565217391305
626,629_R11,4,S,250.7027027027027
626,629_R11,5,S,251.95652173913044
626,629_R11,6,S,323.5869565217391
627,626,4,N,90.0
627,626,6,N,90.0
627,628,4,S,120.0
627,628,6,S,116.73913043478261
628,627,4,N,90.0
628,627,6,N,99.1304347826087
628,630_F11,4,S,180.0
628,630_F11,6,S,203.58695652173913
629_R11,626,4,N,211.56976744186048
629_R11,626,5,N,212.17391304347825
629_R11,628,4,N,120.0
629_R11,628,6,N,110.8695652173913
629_R11,631_723_901,4,S,168.0
629_R11,631_723_901,5,S,166.52173913043478
629_R11,631_723_901,6,S,226.95652173913044
629_R11,718_R09,N,N,298.5652173913044
629_R11,R13,N,S,93.65217391304348
629_R11,R13,R,S,93.6923076923077
629_R11,R45,R,N,82630.078125
630_F11,629_R11,4,N,90.0
630_F11,629_R11,6,N,90.0
630_F11,632,4,S,240.0
630_F11,632,6,S,240.0
630_F11,719_F09_G22,E,N,189.65853658536585
630_F11,719_F09_G22,M,N,190.8
630_F11,F12,E,S,97.90243902439025
630_F11,F12,M,S,99.0
631_723_901,127_725_902_A27_R16,GS,N,90.0
631_723_901,629_R11,4,N,144.41860465116278
631_723_901,629_R11,5,N,146.95652173913044
631_723_901,630_F11,4,N,90.0
631_723_901,630_F11,6,N,99.1304347826087
631_723_901,635_L03_R20,4,S,252.97297297297297
631_723_901,635_L03_R20,5,S,250.43478260869566
631_723_901,635_L03_R20,6,S,356.0869565217391
631_723_901,721,7,N,282.1733149931224
631_723_901,724_D16,7,S,89.21595598349381
632,631_723_901,4,N,120.0
632,631_723_901,6,N,136.6304347826087
632,633,4,S,60.0
632,633,6,S,60.0
633,632,4,N,60.0
633,632,6,N,60.0
633,634,4,S,60.0
633,634,6,S,80.32608695652173
634,633,4,N,60.0
634,633,6,N,66.84782608695652
634,636,4,S,180.0
634,636,6,S,185.7608695652174
635_L03_R20,132_D19_L02,L,N,90.0
635_L03_R20,631_723_901,4,N,222.90697674418604
635_L03_R20,631_723_901,5,N,224.56521739130434
635_L03_R20,634,4,N,120.0
635_L03_R20,634,6,N,113.15217391304348
635_L03_R20,639_M20_Q01_R23,Q,S,259.2700729927007
635_L03_R20,640_M21,4,S,311.6756756756757
635_L03_R20,640_M21,5,S,303.9130434782609
635_L03_R20,640_M21,6,S,529.6739130434783
635_L03_R20,D17_R17,N,N,186.75
635_L03_R20,D17_R17,Q,N,181.10294117647058
635_L03_R20,L05,L,S,62.08791208791209
635_L03_R20,R19,N,N,103.70689655172414
635_L03_R20,R19,Q,N,90.0
635_L03_R20,R19,R,N,106.7175572519084
635_L03_R20,R21,N,S,90.0
635_L03_R20,R21,Q,S,90.0
635_L03_R20,R21,R,S,90.0
635_L03_R20,R39,N,S,1494.0
635_L03_R20,R41,N,S,1507.027027027027
636,635_L03_R20,4,N,90.0
636,635_L03_R20,6,N,85.65217391304348
636,637_D21,4,S,90.0
636,637_D21,6,S,110.32608695652173
637_D21,636,4,N,90.0
